Year,BUYER_COUNTY,Morphine_equ
2006,ADAMS,12563.788718000123
2006,ALLEN,18586.74140681299
2006,ASHLAND,5494.607232000045
2006,ASHTABULA,27441.53337603868
2006,ATHENS,25211.83452595032
2006,AUGLAIZE,5908.711449125071
2006,BELMONT,28346.20601435104
2006,BROWN,13906.918790862694
2006,BUTLER,152586.6628580013
2006,CARROLL,3150.3274470000033
2006,CHAMPAIGN,7738.052918762605
2006,CLARK,53830.532884589484
2006,CLERMONT,67475.40910686675
2006,CLINTON,19432.342238862828
2006,COLUMBIANA,24803.42100236389
2006,COSHOCTON,6477.945478500033
2006,CRAWFORD,12252.027480000144
2006,CUYAHOGA,248374.12603413474
2006,DARKE,6905.578140000062
2006,DEFIANCE,7530.825006000066
2006,DELAWARE,42474.076026889816
2006,ERIE,20744.70133500045
2006,FAIRFIELD,36782.74814208886
2006,FAYETTE,10397.05210803756
2006,FRANKLIN,443400.24312254705
2006,FULTON,6821.59953300006
2006,GALLIA,20626.853757087967
2006,GEAUGA,15489.118456762737
2006,GREENE,36252.537242889426
2006,GUERNSEY,11214.346857499988
2006,HAMILTON,297810.87467403733
2006,HANCOCK,12167.551702887695
2006,HARDIN,7095.199041450094
2006,HARRISON,2085.801011587502
2006,HENRY,3219.6095250000008
2006,HIGHLAND,18652.328850000307
2006,HOCKING,6860.37123450008
2006,HOLMES,1747.826400000008
2006,HURON,13446.396825500182
2006,JACKSON,51704.78133950098
2006,JEFFERSON,36545.13386250104
2006,KNOX,15686.99819350007
2006,LAKE,51982.69570720239
2006,LAWRENCE,26007.343436725994
2006,LICKING,34399.115067714134
2006,LOGAN,12041.082058725135
2006,LORAIN,63873.78471300349
2006,LUCAS,176551.43261367397
2006,MADISON,13351.237638000139
2006,MAHONING,113803.58083478447
2006,MARION,12469.874700862632
2006,MEDINA,41279.770265814244
2006,MEIGS,12848.461240000037
2006,MERCER,4884.816188850017
2006,MIAMI,18321.665529000486
2006,MONROE,2957.3855250000015
2006,MONTGOMERY,159101.18368342222
2006,MORGAN,2242.597534500004
2006,MORROW,5535.257455000017
2006,MUSKINGUM,31471.352043850973
2006,NOBLE,2293.6390875000034
2006,OTTAWA,8026.126662862606
2006,PAULDING,2186.6370165000053
2006,PERRY,10054.248733087472
2006,PICKAWAY,20603.717949500307
2006,PIKE,12887.613484312615
2006,PORTAGE,26220.124839713786
2006,PREBLE,9132.722417262592
2006,PUTNAM,4264.498754625009
2006,RICHLAND,30388.701192000903
2006,ROSS,36999.672390588654
2006,SANDUSKY,9292.142221500162
2006,SCIOTO,43617.61116795173
2006,SENECA,12965.967033362671
2006,SHELBY,7949.300293087597
2006,STARK,80684.38486753126
2006,SUMMIT,201776.25492688507
2006,TRUMBULL,106471.38207023352
2006,TUSCARAWAS,18803.58415050036
2006,UNION,14493.327439450051
2006,VAN WERT,4584.038812500003
2006,VINTON,1104.7591125
2006,WARREN,57059.106717315466
2006,WASHINGTON,15101.09792550038
2006,WAYNE,16080.339402762704
2006,WILLIAMS,4210.328384999999
2006,WOOD,31095.771120088586
2006,WYANDOT,2214.8774135000076
2007,ADAMS,13396.9714925001
2007,ALLEN,21378.78974336308
2007,ASHLAND,6669.70341650008
2007,ASHTABULA,31454.00433122615
2007,ATHENS,23264.274747625328
2007,AUGLAIZE,7129.573184000118
2007,BELMONT,34814.55257681399
2007,BROWN,15169.662886500179
2007,BUTLER,170926.80459953984
2007,CARROLL,4113.479590949998
2007,CHAMPAIGN,8904.850197000093
2007,CLARK,56147.50689978947
2007,CLERMONT,74857.3265154054
2007,CLINTON,21017.760347225358
2007,COLUMBIANA,26974.987155726612
2007,COSHOCTON,7726.932243862535
2007,CRAWFORD,12289.331361900147
2007,CUYAHOGA,285130.7698643369
2007,DARKE,7128.159388500079
2007,DEFIANCE,8019.790224000117
2007,DELAWARE,48359.308146715106
2007,ERIE,19555.310248950318
2007,FAIRFIELD,43998.058927126665
2007,FAYETTE,11692.79476672506
2007,FRANKLIN,503574.7981076359
2007,FULTON,7423.498060500086
2007,GALLIA,24078.311225225174
2007,GEAUGA,17162.773510537827
2007,GREENE,38629.092257339515
2007,GUERNSEY,15722.215255000037
2007,HAMILTON,329059.9743558938
2007,HANCOCK,13475.995354212671
2007,HARDIN,8268.4794030751
2007,HARRISON,2692.480177725004
2007,HENRY,3205.7529374999967
2007,HIGHLAND,20549.35019985053
2007,HOCKING,9155.904702000089
2007,HOLMES,2085.346537500011
2007,HURON,14151.67995186264
2007,JACKSON,53452.69650908908
2007,JEFFERSON,39250.53406385101
2007,KNOX,17952.075329362873
2007,LAKE,60777.59230332787
2007,LAWRENCE,30642.644142463487
2007,LICKING,40562.93290003961
2007,LOGAN,13746.422866125196
2007,LORAIN,71298.28546050488
2007,LUCAS,199472.97427913515
2007,MADISON,12094.56063900016
2007,MAHONING,112743.5395153608
2007,MARION,14512.38037950014
2007,MEDINA,45249.34810595225
2007,MEIGS,15321.77390000005
2007,MERCER,5025.878338837519
2007,MIAMI,21611.68153700053
2007,MONROE,3360.5632502250064
2007,MONTGOMERY,172205.9685693505
2007,MORGAN,2041.993950000006
2007,MORROW,5424.929837500024
2007,MUSKINGUM,33640.80772043847
2007,NOBLE,3124.533131362509
2007,OTTAWA,8097.156637812611
2007,PAULDING,2404.7579325000047
2007,PERRY,11935.931126999962
2007,PICKAWAY,21091.367407500486
2007,PIKE,13481.955454950139
2007,PORTAGE,30109.430753339184
2007,PREBLE,10549.959294737668
2007,PUTNAM,4781.12819400002
2007,RICHLAND,34210.83008036381
